Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	CHAIN	L1D_CACHE_LD
8.000000	freqmine	1	204	36.000000	5.064000	0.364000	1438579125	1391519890	1813600	1438569514	0	259591777	
6.000000	freqmine	1	307	36.000000	5.056000	0.404000	1426674796	1375461491	1809184	1426665472	0	256385087	
4.000000	freqmine	1	307	36.000000	5.056000	0.404000	1429193471	1377588682	1809988	1429183370	0	256873275	
6.000000	freqmine	1	307	35.000000	5.056000	0.444000	1421969532	1367768607	1808564	1421960131	0	254987306	
4.000000	freqmine	1	403	36.000000	5.056000	0.525000	1425415612	1363917557	1809544	1425406414	0	254610176	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1429162488	1365559809	1808272	1429153822	0	254830635	
4.000000	freqmine	1	403	36.000000	5.056000	0.485000	1453713899	1391041466	1814872	1453705023	0	259868517	
4.000000	freqmine	1	518	36.000000	5.048000	0.565000	1449371355	1372909431	1812100	1449362682	0	256088797	
4.000000	freqmine	1	518	35.000000	5.048000	0.565000	1436683803	1363366392	1808408	1436675529	0	254479984	
4.000000	freqmine	1	518	36.000000	5.048000	0.566000	1446752536	1366838426	1809500	1446743303	0	255355739	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1454427299	1364412346	1810788	1454418850	0	254847085	
4.000000	freqmine	1	614	36.000000	5.048000	0.646000	1478579853	1383149355	1814528	1478571705	0	258698732	
2.000000	freqmine	1	614	36.000000	5.048000	0.605000	1456717071	1368599267	1810968	1456708307	0	255694895	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1472565421	1372311793	1810940	1472557595	0	256247367	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1467165206	1364768919	1810136	1467156848	0	255039818	
4.000000	freqmine	1	710	36.000000	5.040000	0.686000	1473016125	1370227106	1811256	1473007277	0	255962911	
4.000000	freqmine	1	921	36.000000	5.048000	0.806000	1489088908	1359614852	1808040	1489081005	0	254170044	
4.000000	freqmine	1	921	36.000000	5.040000	0.806000	1489909694	1359059393	1808732	1489901861	0	254017670	
4.000000	freqmine	1	921	36.000000	5.040000	0.806000	1494724159	1359385414	1808252	1494716207	0	253910213	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1510038829	1356318683	1807592	1510030947	0	253413277	
4.000000	freqmine	1	1036	37.000000	5.040000	0.967000	1514202007	1364415983	1808692	1514194342	0	254775189	
2.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1517594170	1360064685	1810980	1517586512	0	254177037	
2.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1512735293	1356874947	1807004	1512727523	0	253402421	
4.000000	freqmine	1	1132	36.000000	5.032000	0.967000	1521812251	1360174493	1811036	1521804817	0	254180225	
4.000000	freqmine	1	1132	36.000000	5.040000	1.008000	1520487361	1362124713	1808220	1520479780	0	254652721	
4.000000	freqmine	1	1224	37.000000	5.032000	1.046000	1530827260	1355793109	1808356	1530819413	0	253484621	
2.000000	freqmine	1	1224	36.000000	5.032000	1.086000	1529975157	1355203819	1807412	1529967366	0	253099327	
4.000000	freqmine	1	1224	37.000000	5.032000	1.086000	1531633199	1357849833	1808180	1531625723	0	253751175	
2.000000	freqmine	1	1428	37.000000	5.032000	1.328000	1564867931	1356885439	1807676	1564860301	0	253505010	
2.000000	freqmine	1	1428	37.000000	5.024000	1.446000	1567220938	1365403987	1810652	1567213028	0	255064349	
2.000000	freqmine	1	1428	38.000000	5.032000	1.288000	1555374486	1353021306	1808332	1555367150	0	253089449	
2.000000	freqmine	1	1479	38.000000	5.024000	1.408000	1562900541	1353185053	1807236	1562892946	0	252749412	
4.000000	freqmine	1	1479	38.000000	5.024000	1.446000	1562130795	1354114449	1808088	1562123046	0	253485698	
2.000000	freqmine	1	1479	37.000000	5.024000	1.446000	1582887947	1363641350	1810080	1582879435	0	254791756	
16.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1430254274	1369303432	1794016	1430243739	0	257219908	
20.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1432567129	1370815409	1793012	1432555824	0	257569911	
18.000000	streamcluster	1	102	36.000000	5.064000	0.243000	1429445322	1365809751	1793776	1429435074	0	256487960	
10.000000	streamcluster	1	204	36.000000	5.056000	0.404000	1402795890	1349793940	1793308	1402786300	0	254123636	
10.000000	streamcluster	1	204	36.000000	5.056000	0.404000	1400832059	1350492573	1790672	1400822168	0	254417038	
10.000000	streamcluster	1	204	35.000000	5.064000	0.404000	1388282102	1336363861	1789076	1388272050	0	251517708	
6.000000	streamcluster	1	307	35.000000	5.056000	0.485000	1390698332	1332067278	1787216	1390689162	0	250814900	
6.000000	streamcluster	1	307	36.000000	5.056000	0.444000	1389856833	1332005336	1787092	1389847418	0	250878146	
