Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
3.000000	freqmine	1	1224	34.000000	5.040000	1.169000	1535055194	9849	78770	587	0	327	
3.000000	freqmine	1	1224	34.000000	5.040000	1.088000	1532714043	9780	77947	572	0	323	
3.000000	freqmine	1	1224	34.000000	5.040000	1.128000	1532868370	9814	78398	551	0	328	
3.000000	freqmine	1	1428	34.000000	5.032000	1.449000	1554425462	9770	77885	508	0	333	
4.000000	freqmine	1	1428	34.000000	5.032000	1.247000	1557761051	9831	78398	426	0	328	
3.000000	freqmine	1	1428	34.000000	5.032000	1.368000	1555626917	10121	77657	477	0	329	
3.000000	freqmine	1	1479	35.000000	5.032000	1.529000	1556346671	9464	78050	451	0	330	
3.000000	freqmine	1	1479	35.000000	5.024000	1.446000	1581535966	10141	78257	535	0	332	
3.000000	freqmine	1	1479	35.000000	5.032000	1.529000	1565410341	9863	77680	503	0	332	
16.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1433584173	10082	76951	4626	0	353	
16.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1436771436	9723	77541	4802	0	344	
17.000000	streamcluster	1	102	32.000000	5.072000	0.243000	1439746238	9759	77197	4603	0	330	
7.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1400957689	9689	77215	2534	0	323	
11.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1405233167	10085	77534	2483	0	330	
8.000000	streamcluster	1	204	32.000000	5.064000	0.364000	1415348077	10418	77522	2602	0	325	
5.000000	streamcluster	1	307	32.000000	5.056000	0.445000	1397624208	10049	76843	1695	0	325	
5.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1387810731	9427	76912	1733	0	336	
5.000000	streamcluster	1	307	33.000000	5.056000	0.445000	1401033736	10080	76937	1691	0	326	
4.000000	streamcluster	1	403	32.000000	5.056000	0.485000	1410713820	10720	77757	1366	0	323	
4.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1415847580	10733	77198	1380	0	325	
4.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1401031490	10083	76859	1288	0	324	
3.000000	streamcluster	1	518	33.000000	5.048000	0.606000	1404461218	9443	76895	1075	0	330	
5.000000	streamcluster	1	518	33.000000	5.048000	0.606000	1404673120	9753	77190	1044	0	331	
4.000000	streamcluster	1	518	33.000000	5.056000	0.606000	1408965413	9747	77199	1032	0	329	
4.000000	streamcluster	1	614	33.000000	5.056000	0.647000	1418403125	9709	76905	953	0	326	
5.000000	streamcluster	1	614	33.000000	5.056000	0.647000	1430887386	10392	77167	960	0	324	
