Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	MEMORY_ERROR
5.000000	freqmine	1	307	37.000000	5.056000	0.444000	1427711388	45368291	5507607	1327339	32661309	0	
4.000000	freqmine	1	403	37.000000	5.056000	0.485000	1437860180	44904107	5214238	1332192	31447183	0	
5.000000	freqmine	1	403	37.000000	5.056000	0.485000	1441797438	44514165	5306709	1335742	31908037	0	
5.000000	freqmine	1	403	37.000000	5.056000	0.525000	1433862610	44557609	5332360	1360174	32210909	0	
3.000000	freqmine	1	518	37.000000	5.048000	0.605000	1434631895	43471816	5074774	1327056	30958300	0	
3.000000	freqmine	1	518	37.000000	5.048000	0.565000	1435181790	43523282	4944950	1306105	30281661	0	
4.000000	freqmine	1	518	37.000000	5.048000	0.565000	1446912386	43815754	5128765	1324164	31140111	0	
3.000000	freqmine	1	614	37.000000	5.048000	0.646000	1454975111	43491612	5049958	1324506	30809179	0	
3.000000	freqmine	1	614	37.000000	5.048000	0.646000	1458647198	43684613	5075656	1321904	30930484	0	
3.000000	freqmine	1	614	37.000000	5.048000	0.605000	1456081765	43574733	5038608	1313369	30689868	0	
4.000000	freqmine	1	710	37.000000	5.040000	0.726000	1469074981	43359246	4928029	1334829	30393054	0	
3.000000	freqmine	1	710	38.000000	5.048000	0.726000	1468690948	43235916	4990653	1300301	30400863	0	
3.000000	freqmine	1	710	37.000000	5.048000	0.686000	1474414579	43358221	5035043	1331167	30788410	0	
3.000000	freqmine	1	921	37.000000	5.040000	0.846000	1501955910	42862558	4836500	1316068	29931154	0	
3.000000	freqmine	1	921	37.000000	5.040000	0.807000	1491705891	42953413	4882350	1323887	30195107	0	
3.000000	freqmine	1	921	37.000000	5.040000	0.887000	1511657880	43117789	4805505	1304169	29704827	0	
3.000000	freqmine	1	1036	37.000000	5.040000	0.927000	1523659025	42713741	4788628	1334670	29818774	0	
3.000000	freqmine	1	1036	38.000000	5.040000	0.887000	1513322758	42940270	4727964	1319357	29541193	0	
3.000000	freqmine	1	1036	38.000000	5.040000	0.846000	1529568606	43026485	4823768	1337798	30137168	0	
2.000000	freqmine	1	1132	38.000000	5.040000	0.967000	1514740283	42531215	4767969	1307079	29590550	0	
3.000000	freqmine	1	1132	38.000000	5.040000	0.846000	1532141450	42760500	4800840	1314013	29670283	0	
2.000000	freqmine	1	1132	38.000000	5.040000	0.967000	1523758133	42809095	4826802	1328625	30013836	0	
3.000000	freqmine	1	1224	38.000000	5.032000	1.046000	1530108597	42452640	4795652	1321070	29713820	0	
3.000000	freqmine	1	1224	38.000000	5.032000	1.086000	1536184805	42907723	4786025	1311509	29652879	0	
3.000000	freqmine	1	1224	37.000000	5.032000	1.086000	1540398826	42667575	4816399	1327054	29875683	0	
3.000000	freqmine	1	1428	38.000000	5.032000	1.328000	1585711930	42842474	4699737	1306734	29193068	0	
4.000000	freqmine	1	1428	38.000000	5.024000	1.446000	1569260598	42743519	4732790	1340506	29639346	0	
4.000000	freqmine	1	1428	38.000000	5.032000	1.288000	1564335755	42576531	4668253	1327494	29356442	0	
3.000000	freqmine	1	1479	39.000000	5.024000	1.487000	1576518942	42611447	4683967	1318476	29232556	0	
4.000000	freqmine	1	1479	38.000000	5.024000	1.527000	1571069270	42544580	4756352	1339992	29825487	0	
3.000000	freqmine	1	1479	38.000000	5.024000	1.487000	1559732444	42342486	4645099	1307691	29032906	0	
15.000000	streamcluster	1	102	37.000000	5.064000	0.283000	1440022870	50034212	6032616	1334627	34605334	0	
18.000000	streamcluster	1	102	37.000000	5.072000	0.284000	1438517180	49720020	6386871	1365670	36296639	0	
18.000000	streamcluster	1	102	37.000000	5.072000	0.284000	1444381195	50086559	6377910	1359791	36222574	0	
8.000000	streamcluster	1	204	37.000000	5.056000	0.404000	1394639587	45897106	5778519	1322759	33593054	0	
9.000000	streamcluster	1	204	37.000000	5.056000	0.404000	1400638253	45661044	5535136	1295500	32319735	0	
7.000000	streamcluster	1	204	37.000000	5.056000	0.404000	1412779619	46382114	5741052	1321831	33355191	0	
5.000000	streamcluster	1	307	37.000000	5.056000	0.485000	1396234822	44404550	5333381	1292360	31535792	0	
6.000000	streamcluster	1	307	37.000000	5.056000	0.485000	1391760069	44442887	5368249	1296542	31715044	0	
6.000000	streamcluster	1	307	37.000000	5.056000	0.444000	1400147609	44284933	5393445	1302021	31828285	0	
5.000000	streamcluster	1	403	37.000000	5.056000	0.525000	1404875469	43489522	5041214	1292019	30397186	0	
5.000000	streamcluster	1	403	37.000000	5.048000	0.525000	1405841378	43713208	5103207	1278369	30566199	0	
5.000000	streamcluster	1	403	37.000000	5.056000	0.525000	1395188213	43554530	5090824	1290236	30610337	0	
7.000000	streamcluster	1	518	37.000000	5.048000	0.605000	1413104290	43431452	5059825	1284259	30439084	0	
3.000000	streamcluster	1	518	37.000000	5.048000	0.605000	1395357607	42441964	4807369	1249465	29192274	0	
4.000000	streamcluster	1	518	37.000000	5.048000	0.605000	1415702596	43275905	5064982	1293727	30519699	0	
4.000000	streamcluster	1	614	37.000000	5.048000	0.646000	1416520082	42681312	4883881	1266440	29660711	0	
5.000000	streamcluster	1	614	37.000000	5.048000	0.646000	1419991381	42591714	4959191	1282547	30061093	0	
