Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
2.750000	dedup	1	1224	31.000000	5.032000	1.086000	1520811084	0	0	0	0	0	
3.625000	dedup	1	1224	31.000000	5.032000	1.046000	1528371013	0	0	0	0	0	
4.125000	dedup	1	1428	31.000000	5.024000	1.368000	1540920455	0	0	0	0	0	
2.625000	dedup	1	1428	31.000000	5.024000	1.286000	1542150035	0	0	0	0	0	
3.375000	dedup	1	1428	32.000000	5.032000	1.368000	1530153865	0	0	0	0	0	
3.125000	dedup	1	1479	32.000000	5.032000	1.449000	1561413334	0	0	0	0	0	
2.750000	dedup	1	1479	31.000000	5.032000	1.449000	1546066005	0	0	0	0	0	
2.625000	dedup	1	1479	31.000000	5.032000	1.449000	1549893405	0	0	0	0	0	
15.000000	ferret	1	102	30.000000	5.072000	0.202000	1456551620	0	0	0	0	0	
15.875000	ferret	1	102	30.000000	5.072000	0.202000	1468312233	0	0	0	0	0	
15.875000	ferret	1	102	30.000000	5.072000	0.243000	1460629352	0	0	0	0	0	
7.000000	ferret	1	204	30.000000	5.072000	0.324000	1424858713	0	0	0	0	0	
6.750000	ferret	1	204	30.000000	5.072000	0.324000	1440061455	0	0	0	0	0	
8.000000	ferret	1	204	30.000000	5.072000	0.324000	1447578761	0	0	0	0	0	
5.000000	ferret	1	307	30.000000	5.072000	0.324000	1431936521	0	0	0	0	0	
5.375000	ferret	1	307	30.000000	5.072000	0.365000	1419378667	0	0	0	0	0	
5.000000	ferret	1	307	30.000000	5.072000	0.365000	1426595000	0	0	0	0	0	
4.750000	ferret	1	403	30.000000	5.072000	0.405000	1435040347	0	0	0	0	0	
4.875000	ferret	1	403	30.000000	5.072000	0.365000	1440612464	0	0	0	0	0	
4.625000	ferret	1	403	30.000000	5.072000	0.405000	1451410868	0	0	0	0	0	
3.875000	ferret	1	518	30.000000	5.072000	0.405000	1441100573	0	0	0	0	0	
3.750000	ferret	1	518	30.000000	5.072000	0.446000	1448572136	0	0	0	0	0	
3.750000	ferret	1	518	30.000000	5.072000	0.446000	1442640376	0	0	0	0	0	
3.625000	ferret	1	614	30.000000	5.072000	0.446000	1457826478	0	0	0	0	0	
3.875000	ferret	1	614	30.000000	5.072000	0.486000	1454726784	0	0	0	0	0	
3.625000	ferret	1	614	30.000000	5.072000	0.446000	1452900834	0	0	0	0	0	
3.500000	ferret	1	710	30.000000	5.072000	0.486000	1457740685	0	0	0	0	0	
3.250000	ferret	1	710	30.000000	5.072000	0.486000	1468436284	0	0	0	0	0	
3.125000	ferret	1	710	30.000000	5.072000	0.486000	1470700922	0	0	0	0	0	
2.875000	ferret	1	921	30.000000	5.072000	0.568000	1485755764	0	0	0	0	0	
3.375000	ferret	1	921	30.000000	5.072000	0.568000	1497123359	0	0	0	0	0	
3.000000	ferret	1	921	30.000000	5.072000	0.568000	1498283373	0	0	0	0	0	
2.875000	ferret	1	1036	30.000000	5.064000	0.648000	1507567456	0	0	0	0	0	
2.750000	ferret	1	1036	30.000000	5.064000	0.607000	1515247623	0	0	0	0	0	
2.750000	ferret	1	1036	30.000000	5.064000	0.607000	1512921705	0	0	0	0	0	
2.875000	ferret	1	1132	30.000000	5.064000	0.648000	1517475280	0	0	0	0	0	
2.875000	ferret	1	1132	31.000000	5.064000	0.648000	1527433428	0	0	0	0	0	
2.875000	ferret	1	1132	30.000000	5.064000	0.648000	1532734711	0	0	0	0	0	
3.000000	ferret	1	1224	30.000000	5.064000	0.729000	1527381967	0	0	0	0	0	
3.000000	ferret	1	1224	30.000000	5.064000	0.688000	1523779223	0	0	0	0	0	
2.875000	ferret	1	1224	30.000000	5.064000	0.729000	1528187514	0	0	0	0	0	
2.750000	ferret	1	1428	31.000000	5.056000	0.930000	1579031070	0	0	0	0	0	
2.750000	ferret	1	1428	31.000000	5.056000	0.889000	1565143503	0	0	0	0	0	
2.875000	ferret	1	1428	31.000000	5.056000	0.930000	1576956632	0	0	0	0	0	
2.625000	ferret	1	1479	31.000000	5.056000	0.970000	1586827368	0	0	0	0	0	
3.000000	ferret	1	1479	31.000000	5.056000	0.970000	1566379315	0	0	0	0	0	
2.625000	ferret	1	1479	30.000000	5.056000	0.970000	1576458891	0	0	0	0	0	
17.000000	fluidanimate	1	102	30.000000	5.072000	0.243000	1477038675	0	0	0	0	0	
15.500000	fluidanimate	1	102	30.000000	5.072000	0.243000	1488015925	0	0	0	0	0	
14.250000	fluidanimate	1	102	30.000000	5.072000	0.243000	1488981091	0	0	0	0	0	
8.750000	fluidanimate	1	204	30.000000	5.064000	0.364000	1454464611	0	0	0	0	0	
7.875000	fluidanimate	1	204	30.000000	5.064000	0.364000	1462000978	0	0	0	0	0	
9.250000	fluidanimate	1	204	30.000000	5.064000	0.364000	1460995539	0	0	0	0	0	
5.125000	fluidanimate	1	307	30.000000	5.064000	0.405000	1451713772	0	0	0	0	0	
6.625000	fluidanimate	1	307	30.000000	5.056000	0.444000	1450403253	0	0	0	0	0	
5.625000	fluidanimate	1	307	30.000000	5.064000	0.405000	1436905539	0	0	0	0	0	
5.000000	fluidanimate	1	403	30.000000	5.056000	0.485000	1442416732	0	0	0	0	0	
4.625000	fluidanimate	1	403	30.000000	5.056000	0.485000	1454590405	0	0	0	0	0	
4.375000	fluidanimate	1	403	30.000000	5.056000	0.485000	1454512458	0	0	0	0	0	
3.875000	fluidanimate	1	518	30.000000	5.056000	0.566000	1458758337	0	0	0	0	0	
3.750000	fluidanimate	1	518	30.000000	5.056000	0.566000	1473757331	0	0	0	0	0	
3.750000	fluidanimate	1	518	30.000000	5.056000	0.566000	1456301200	0	0	0	0	0	
3.625000	fluidanimate	1	614	30.000000	5.056000	0.606000	1467121951	0	0	0	0	0	
3.625000	fluidanimate	1	614	30.000000	5.056000	0.606000	1461068162	0	0	0	0	0	
3.625000	fluidanimate	1	614	30.000000	5.056000	0.606000	1464169403	0	0	0	0	0	
3.375000	fluidanimate	1	710	30.000000	5.056000	0.647000	1474908755	0	0	0	0	0	
3.375000	fluidanimate	1	710	31.000000	5.056000	0.687000	1486994768	0	0	0	0	0	
3.250000	fluidanimate	1	710	31.000000	5.048000	0.848000	1482255092	0	0	0	0	0	
3.000000	fluidanimate	1	921	31.000000	5.048000	0.767000	1524530877	0	0	0	0	0	
2.875000	fluidanimate	1	921	31.000000	5.048000	0.807000	1506200453	0	0	0	0	0	
3.250000	fluidanimate	1	921	31.000000	5.048000	0.807000	1504972720	0	0	0	0	0	
2.625000	fluidanimate	1	1036	31.000000	5.040000	0.887000	1521210969	0	0	0	0	0	
2.750000	fluidanimate	1	1036	30.000000	5.040000	0.927000	1535232765	0	0	0	0	0	
2.875000	fluidanimate	1	1036	31.000000	5.040000	0.887000	1530924893	0	0	0	0	0	
