Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
4.000000	ferret	1	1224	35.000000	5.064000	0.729000	1536548148	3686	256107920	191747026	1290593	68481	
2.000000	ferret	1	1224	36.000000	5.064000	0.728000	1540741663	3763	256837987	192497271	938628	70921	
2.000000	ferret	1	1224	36.000000	5.064000	0.729000	1533990235	3928	255851656	191500562	1158552	70200	
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1560173296	3303	255238557	191027956	939576	69902	
4.000000	ferret	1	1428	35.000000	5.056000	0.930000	1567524823	3611	256065978	191618105	1162523	69489	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1569107633	3808	256572273	191854927	936149	69325	
4.000000	ferret	1	1479	37.000000	5.056000	0.970000	1569012705	3519	254232514	190442482	1044627	68461	
4.000000	ferret	1	1479	37.000000	5.056000	1.009000	1580330605	3121	256785951	192077131	937844	70234	
2.000000	ferret	1	1479	37.000000	5.048000	1.009000	1575942847	3279	255734160	191548833	1289381	69727	
28.000000	fluidanimate	1	102	35.000000	5.064000	0.243000	1502673498	34295	275211243	203284450	1425975	86988	
14.000000	fluidanimate	1	102	35.000000	5.064000	0.243000	1494567862	34103	273033256	201682052	1178439	82190	
24.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1484162895	34033	270959179	200248162	1426417	85656	
8.000000	fluidanimate	1	204	35.000000	5.056000	0.364000	1454126150	15915	267770532	197406088	1063419	81807	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1438726349	15883	266275387	196362235	1281636	81287	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1458860346	17928	268937945	198275356	1062316	82200	
4.000000	fluidanimate	1	307	35.000000	5.064000	0.404000	1470118924	11455	270966146	199362782	1060599	88048	
4.000000	fluidanimate	1	307	35.000000	5.056000	0.404000	1454985385	13375	267007199	196921605	1166841	81717	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1453978965	12234	267427153	197135541	1167233	86693	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1457563854	9128	267042494	196929791	1414549	81860	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1447264944	9409	263933543	194643241	1411961	86151	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1451771552	9201	264981405	195446612	1410061	86087	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.566000	1470595311	7478	265899583	195894623	1060724	87287	
2.000000	fluidanimate	1	518	36.000000	5.048000	0.565000	1457224902	7516	264251681	194800997	1060291	82464	
2.000000	fluidanimate	1	518	35.000000	5.040000	0.604000	1460299504	7241	264098502	194603713	1411107	82228	
2.000000	fluidanimate	1	614	35.000000	5.040000	0.645000	1478438217	6479	265402886	195604133	1059731	81821	
4.000000	fluidanimate	1	614	35.000000	5.048000	0.646000	1480385545	6978	265158730	195646205	1058291	82403	
2.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1482201733	6346	265408847	195727141	1281376	82292	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1491485391	5969	265600509	195742242	1409415	80993	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1508239034	6086	268243036	197462893	1406418	87118	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1489004887	5471	265176109	195455881	1054717	87623	
4.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1511899466	5558	263154385	193888300	1171244	80878	
4.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1520970483	4646	264963032	195181705	1164349	86420	
4.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1517349055	4652	264442533	194995450	1281414	87532	
4.000000	fluidanimate	1	1036	36.000000	5.032000	1.006000	1528808896	4261	262651064	193829595	1282052	81893	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.887000	1541619089	4087	264892295	195144937	1170790	81156	
4.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1544393147	4185	265998923	195884917	1060129	86489	
2.000000	fluidanimate	1	1132	36.000000	5.032000	1.006000	1525780110	4232	261984902	193185807	1412111	81257	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.967000	1538092526	4315	263820775	194619486	1057182	86357	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.967000	1538510105	4035	264081995	194596595	1407678	82239	
4.000000	fluidanimate	1	1224	36.000000	5.040000	1.008000	1543926487	3977	261889890	193057569	1058132	86268	
2.000000	fluidanimate	1	1224	36.000000	5.032000	1.127000	1556972798	4724	263224108	194303056	1406606	86633	
2.000000	fluidanimate	1	1224	36.000000	5.032000	1.088000	1555889691	3823	263424465	194324529	1165056	81528	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.406000	1595421685	3703	265626689	195792473	1279461	87337	
4.000000	fluidanimate	1	1428	37.000000	5.024000	1.446000	1582889889	3311	264098945	194684914	1278726	82207	
2.000000	fluidanimate	1	1428	36.000000	5.024000	1.527000	1586742903	3836	263819737	194564322	1279037	81399	
2.000000	fluidanimate	1	1479	37.000000	5.024000	1.446000	1608264165	3646	267658075	197093271	1408188	87238	
4.000000	fluidanimate	1	1479	38.000000	5.016000	1.605000	1580286439	3330	262387085	193390383	1403933	86115	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.487000	1586628096	3260	262692658	193567374	1163224	86229	
18.000000	freqmine	1	102	35.000000	5.072000	0.243000	1466558864	31181	262922257	199503909	1057207	82856	
