Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	PC_WRITE_SPEC	CRYPTO_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC
5.500000	fluidanimate	1	307	33.000000	5.064000	0.445000	1448082441	236562200	0	206400083	24817378	30126117	
4.500000	fluidanimate	1	403	33.000000	5.056000	0.525000	1450923537	236708573	0	206534505	24839379	30138072	
5.000000	fluidanimate	1	403	33.000000	5.056000	0.525000	1459290732	237447998	0	207094779	25019118	30317218	
4.500000	fluidanimate	1	403	33.000000	5.056000	0.485000	1461133085	238342863	0	207893744	25113684	30413120	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1457961873	234589500	0	204765814	24491136	29787688	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1455695321	235853900	0	205823002	24703974	29994898	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.606000	1464889618	236073316	0	206000202	24741395	30037109	
3.500000	fluidanimate	1	614	33.000000	5.056000	0.606000	1477239961	235686305	0	205682244	24678837	29968066	
3.500000	fluidanimate	1	614	33.000000	5.048000	0.647000	1479215883	236704504	0	206536990	24840958	30131520	
3.500000	fluidanimate	1	614	33.000000	5.056000	0.647000	1467376747	233783247	0	204040587	24417202	29706661	
4.000000	fluidanimate	1	710	33.000000	5.056000	0.686000	1486150360	235329779	0	205393735	24613880	29900039	
3.500000	fluidanimate	1	710	33.000000	5.056000	0.687000	1489708942	235681002	0	205671958	24685537	29973050	
3.500000	fluidanimate	1	710	33.000000	5.048000	0.686000	1491698651	236306657	0	206166429	24817636	30104233	
3.500000	fluidanimate	1	921	33.000000	5.048000	0.848000	1528503326	237408927	0	207065499	25023167	30307427	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.807000	1535657528	239041972	0	208395447	25323224	30610526	
4.500000	fluidanimate	1	921	33.000000	5.048000	0.807000	1527843270	237190462	0	206926973	24939084	30227492	
3.000000	fluidanimate	1	1036	33.000000	5.048000	0.848000	1549649890	237188437	0	206966954	24900900	30185486	
3.000000	fluidanimate	1	1036	33.000000	5.040000	0.887000	1527163488	233334492	0	203659340	24357859	29639149	
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.927000	1527991871	233878894	0	204190717	24373601	29652184	
2.500000	fluidanimate	1	1132	33.000000	5.048000	0.928000	1536218669	234605376	0	204778290	24511304	29791086	
3.500000	fluidanimate	1	1132	33.000000	5.048000	0.888000	1538777439	234800846	0	204906872	24581728	29857981	
3.000000	fluidanimate	1	1132	34.000000	5.040000	0.927000	1535634420	234181271	0	204394348	24476080	29750942	
3.000000	fluidanimate	1	1224	34.000000	5.040000	1.128000	1559623893	235249256	0	205265883	24671997	29947372	
2.500000	fluidanimate	1	1224	33.000000	5.040000	1.048000	1560611557	235818805	0	205773500	24730809	30009318	
2.500000	fluidanimate	1	1224	34.000000	5.032000	1.128000	1551772068	234579425	0	204779571	24487557	29763857	
2.500000	fluidanimate	1	1428	34.000000	5.024000	1.406000	1591752178	236874568	0	206616866	24944092	30221707	
3.000000	fluidanimate	1	1428	34.000000	5.024000	1.487000	1592931698	237090061	0	206863974	24912622	30190087	
2.500000	fluidanimate	1	1428	34.000000	5.032000	1.328000	1576851137	233925082	0	204178460	24436624	29710628	
2.500000	fluidanimate	1	1479	34.000000	5.024000	1.567000	1607582328	238028573	0	207594401	25117468	30398173	
2.500000	fluidanimate	1	1479	35.000000	5.024000	1.527000	1597660824	236316173	0	206189399	24810268	30090779	
2.500000	fluidanimate	1	1479	35.000000	5.024000	1.647000	1592280137	235157806	0	205208103	24636472	29913707	
14.000000	freqmine	1	102	33.000000	5.072000	0.243000	1468086048	238242919	0	208328335	25050140	29878652	
20.000000	freqmine	1	102	32.000000	5.072000	0.243000	1464123787	236858210	0	207210965	24782715	29611311	
21.000000	freqmine	1	102	33.000000	5.072000	0.243000	1486937550	240949613	0	210611381	25466415	30302289	
8.000000	freqmine	1	204	32.000000	5.064000	0.324000	1430803804	234336946	0	205110428	24420834	29190591	
7.000000	freqmine	1	204	33.000000	5.064000	0.324000	1427591811	235023987	0	205680849	24540633	29307211	
8.000000	freqmine	1	204	33.000000	5.064000	0.324000	1444695696	236698183	0	207152358	24739466	29509893	
5.500000	freqmine	1	307	33.000000	5.056000	0.444000	1430380699	234012418	0	204932473	24294158	29044024	
6.000000	freqmine	1	307	33.000000	5.056000	0.405000	1430256011	233759048	0	204637856	24333181	29085266	
5.000000	freqmine	1	307	33.000000	5.056000	0.444000	1443372607	236465371	0	206944483	24731294	29484966	
4.500000	freqmine	1	403	33.000000	5.056000	0.485000	1440597833	235050992	0	205756648	24511459	29258419	
4.500000	freqmine	1	403	32.000000	5.056000	0.485000	1437036384	234109608	0	204965043	24367960	29108637	
4.000000	freqmine	1	403	33.000000	5.056000	0.485000	1440846350	234005965	0	204835755	24393484	29134281	
3.500000	freqmine	1	518	33.000000	5.056000	0.566000	1442947103	232166200	0	203298712	24096396	28831566	
4.000000	freqmine	1	518	32.000000	5.056000	0.566000	1434647132	232077092	0	203255115	24055786	28786053	
4.000000	freqmine	1	518	33.000000	5.048000	0.726000	1463316069	233509547	0	204424542	24309049	29049041	
3.500000	freqmine	1	614	33.000000	5.048000	0.646000	1482254354	234589491	0	205337869	24477768	29215663	
3.500000	freqmine	1	614	33.000000	5.056000	0.647000	1460693973	233208208	0	204214204	24231771	28958076	
3.500000	freqmine	1	614	33.000000	5.056000	0.606000	1449757143	231499673	0	202784951	23954548	28678798	
3.500000	freqmine	1	710	33.000000	5.048000	0.686000	1472453519	233173520	0	204155592	24256175	28982003	
4.500000	freqmine	1	710	33.000000	5.048000	0.686000	1462285517	231366408	0	202640967	23963357	28689521	
3.000000	freqmine	1	710	33.000000	5.048000	0.686000	1468564918	232194911	0	203329648	24101684	28829337	
3.500000	freqmine	1	921	33.000000	5.048000	0.887000	1488221594	230984227	0	202370355	23855594	28577948	
3.500000	freqmine	1	921	33.000000	5.048000	0.807000	1503888741	233496114	0	204444394	24293749	29015796	
3.000000	freqmine	1	921	33.000000	5.048000	0.807000	1505054027	234006334	0	204865530	24379145	29104883	
2.500000	freqmine	1	1036	33.000000	5.048000	0.888000	1511606187	231392775	0	202657394	23977670	28699456	
3.000000	freqmine	1	1036	33.000000	5.040000	0.967000	1512634320	232199099	0	203390728	24055406	28772442	
3.000000	freqmine	1	1036	34.000000	5.040000	0.887000	1514401204	232308255	0	203471587	24083773	28800743	
2.500000	freqmine	1	1132	34.000000	5.040000	0.967000	1519690114	231794095	0	203053754	23985890	28704417	
3.000000	freqmine	1	1132	34.000000	5.040000	0.927000	1511729009	230929047	0	202302229	23869174	28590900	
2.500000	freqmine	1	1132	34.000000	5.040000	0.967000	1534050458	234414075	0	205219103	24436478	29159051	
3.000000	freqmine	1	1224	34.000000	5.040000	1.128000	1532017223	231795143	0	203038935	24004131	28720287	
3.000000	freqmine	1	1224	34.000000	5.040000	1.008000	1541041515	233200341	0	204213739	24228678	28950684	
3.000000	freqmine	1	1224	34.000000	5.040000	1.048000	1530412880	231098140	0	202470482	23873157	28591738	
2.500000	freqmine	1	1428	34.000000	5.024000	1.366000	1567793937	232538527	0	203607520	24170622	28895083	
3.000000	freqmine	1	1428	35.000000	5.024000	1.446000	1561794998	231868961	0	203081005	24033371	28752033	
3.000000	freqmine	1	1428	34.000000	5.024000	1.406000	1573144230	234037243	0	204838917	24441740	29162402	
2.500000	freqmine	1	1479	35.000000	5.024000	1.487000	1573085226	232862114	0	203860589	24243245	28965592	
2.500000	freqmine	1	1479	34.000000	5.024000	1.446000	1572952132	231959019	0	203187187	24016195	28735909	
2.500000	freqmine	1	1479	34.000000	5.032000	1.408000	1574529153	232088448	0	203234983	24093210	28817528	
21.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1431901773	231048340	0	201403326	24813555	29609612	
22.500000	streamcluster	1	102	33.000000	5.072000	0.243000	1438696835	231296632	0	201601664	24861461	29659570	
17.000000	streamcluster	1	102	32.000000	5.072000	0.243000	1432095894	230682292	0	201031740	24817443	29615147	
10.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1397338671	226890212	0	197897235	24213583	28957584	
8.000000	streamcluster	1	204	32.000000	5.056000	0.364000	1409419396	230050634	0	200571310	24697980	29443907	
11.000000	streamcluster	1	204	33.000000	5.064000	0.364000	1404747166	227892570	0	198801942	24312095	29055234	
7.000000	streamcluster	1	307	33.000000	5.056000	0.485000	1383176931	224177856	0	195695793	23728265	28446668	
5.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1394542170	226397166	0	197549027	24086323	28812743	
6.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1410103870	229580265	0	200188679	24626656	29356189	
4.500000	streamcluster	1	403	33.000000	5.056000	0.525000	1403171772	226708467	0	197814816	24137779	28858258	
4.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1414527601	228758945	0	199500824	24501719	29222731	
4.500000	streamcluster	1	403	33.000000	5.056000	0.525000	1395382619	224896116	0	196253568	23893916	28607151	
3.500000	streamcluster	1	518	33.000000	5.056000	0.605000	1410360665	225619162	0	196890197	23984966	28693572	
5.000000	streamcluster	1	518	33.000000	5.056000	0.606000	1411803093	225996036	0	197141578	24106190	28819063	
