Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE
6.500000	fluidanimate	1	307	36.000000	5.064000	0.444000	1450406804	0	12738965	1748485	10955635	461485920	
6.000000	fluidanimate	1	307	36.000000	5.056000	0.444000	1464119642	0	12669846	1756071	10852442	467016544	
4.500000	fluidanimate	1	403	36.000000	5.056000	0.525000	1446506661	0	12242139	1694376	10565861	459995017	
4.500000	fluidanimate	1	403	36.000000	5.056000	0.485000	1470706913	0	12421041	1717438	10782311	466358209	
4.500000	fluidanimate	1	403	36.000000	5.056000	0.485000	1457018961	0	12451608	1750162	10851217	461453301	
5.000000	fluidanimate	1	518	36.000000	5.056000	0.565000	1484046071	0	12214783	1683280	10717364	466566993	
3.500000	fluidanimate	1	518	36.000000	5.048000	0.605000	1462464290	0	12126195	1702398	10597656	460128268	
4.000000	fluidanimate	1	518	36.000000	5.056000	0.566000	1462383189	0	12134534	1710708	10546250	460056107	
3.500000	fluidanimate	1	614	36.000000	5.048000	0.646000	1471608594	0	12049729	1665373	10563904	458147734	
3.500000	fluidanimate	1	614	37.000000	5.048000	0.646000	1469680447	0	11992385	1664604	10489412	457417840	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.605000	1496788614	0	12044575	1700937	10826740	465390572	
3.500000	fluidanimate	1	710	37.000000	5.048000	0.726000	1481437158	0	11960649	1671796	10323325	457352163	
3.500000	fluidanimate	1	710	37.000000	5.048000	0.686000	1490187117	0	12025655	1690026	10369027	459256450	
5.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1488239829	0	12027012	1661396	10567636	458312358	
3.500000	fluidanimate	1	921	36.000000	5.048000	0.846000	1518472025	0	11786917	1665961	10494519	457973872	
3.000000	fluidanimate	1	921	37.000000	5.048000	0.807000	1514920553	0	11757248	1640860	10427999	457675030	
2.500000	fluidanimate	1	921	36.000000	5.040000	0.846000	1507620793	0	11843524	1643604	10310790	455403663	
3.000000	fluidanimate	1	1036	37.000000	5.040000	0.887000	1530178262	0	11760408	1648038	10398851	455168157	
3.000000	fluidanimate	1	1036	37.000000	5.040000	0.927000	1539754420	0	11838580	1636973	10419719	458780455	
3.000000	fluidanimate	1	1036	37.000000	5.032000	0.967000	1532154122	0	11847635	1624539	10532946	457658581	
2.500000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1541475426	0	11705054	1633320	10354237	457998295	
3.500000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1529072467	0	11626209	1630931	10462803	454977811	
3.000000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1550541075	0	11763902	1640098	10394878	461009216	
3.500000	fluidanimate	1	1224	37.000000	5.032000	1.167000	1567169367	0	11702200	1632327	10454373	460770478	
2.500000	fluidanimate	1	1224	37.000000	5.032000	1.127000	1570904943	0	11653982	1643874	10361098	462941411	
3.000000	fluidanimate	1	1224	37.000000	5.040000	1.086000	1561956891	0	11790167	1627466	10385718	458289281	
3.000000	fluidanimate	1	1428	38.000000	5.016000	1.527000	1580832961	0	11600200	1607751	10261329	457278138	
2.500000	fluidanimate	1	1428	38.000000	5.024000	1.406000	1566096590	0	11611659	1623806	10184654	452882832	
3.000000	fluidanimate	1	1428	38.000000	5.024000	1.527000	1583903153	0	11575906	1646138	10329358	457413915	
2.500000	fluidanimate	1	1479	37.000000	5.024000	1.366000	1585298597	0	11570293	1625196	10318426	455215559	
3.000000	fluidanimate	1	1479	38.000000	5.016000	1.484000	1576606948	0	11618466	1623019	10273149	453141389	
3.000000	fluidanimate	1	1479	38.000000	5.016000	1.564000	1590880693	0	11579031	1624322	10291711	456950687	
14.500000	freqmine	1	102	36.000000	5.072000	0.243000	1468440659	0	14947018	2017388	11701133	463313756	
17.500000	freqmine	1	102	36.000000	5.072000	0.243000	1493131815	0	15215928	2059863	11746010	462314962	
17.000000	freqmine	1	102	36.000000	5.072000	0.243000	1460179398	0	14836693	2010247	12085701	458843502	
8.000000	freqmine	1	204	36.000000	5.064000	0.364000	1449515182	0	13304358	1823667	11281842	459434174	
7.000000	freqmine	1	204	36.000000	5.064000	0.364000	1425598677	0	13104265	1788706	10901622	452975030	
7.000000	freqmine	1	204	36.000000	5.064000	0.364000	1447570562	0	13265050	1817583	11288373	459252622	
5.000000	freqmine	1	307	36.000000	5.056000	0.404000	1440220698	0	12703471	1785404	11183763	453920528	
5.500000	freqmine	1	307	36.000000	5.056000	0.404000	1419123582	0	12499285	1739223	10693864	448332896	
5.000000	freqmine	1	307	36.000000	5.056000	0.444000	1429064027	0	12679178	1730151	10863204	450646350	
4.000000	freqmine	1	403	36.000000	5.056000	0.485000	1426632970	0	12315434	1740234	10721127	448281236	
5.000000	freqmine	1	403	36.000000	5.056000	0.485000	1431987899	0	12303963	1716110	10663505	448424737	
4.500000	freqmine	1	403	36.000000	5.056000	0.485000	1439808537	0	12294127	1710409	10751803	451768574	
3.500000	freqmine	1	518	36.000000	5.048000	0.566000	1443737940	0	12090747	1671565	10402371	449116579	
4.000000	freqmine	1	518	36.000000	5.056000	0.565000	1436739946	0	11937352	1656981	10687327	447439159	
4.000000	freqmine	1	518	36.000000	5.056000	0.566000	1433347465	0	12167558	1698751	10364430	445354819	
3.000000	freqmine	1	614	36.000000	5.048000	0.605000	1449885990	0	11927549	1648277	10579996	446262007	
3.500000	freqmine	1	614	36.000000	5.048000	0.605000	1467778305	0	12005233	1677261	10451917	451891694	
3.000000	freqmine	1	614	36.000000	5.048000	0.605000	1444874612	0	11888133	1658305	10455552	445100219	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1463059017	0	11882912	1650118	10363857	446617562	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1472704169	0	11886564	1687228	10595498	448332345	
4.500000	freqmine	1	710	36.000000	5.048000	0.726000	1475356883	0	12059855	1661090	10918345	449313948	
3.500000	freqmine	1	921	36.000000	5.040000	0.846000	1483032608	0	11769683	1634112	10339315	443446444	
3.000000	freqmine	1	921	36.000000	5.040000	0.887000	1509100095	0	11764103	1654793	10402756	450968496	
3.500000	freqmine	1	921	36.000000	5.048000	0.807000	1485380103	0	11806722	1641957	10255702	442429926	
3.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1527207396	0	11718728	1634264	10366999	452033974	
3.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1506292069	0	11714033	1631525	10398644	446065426	
2.500000	freqmine	1	1036	37.000000	5.040000	0.927000	1513117621	0	11744673	1616948	10235668	446937329	
2.500000	freqmine	1	1132	37.000000	5.040000	0.887000	1516408238	0	11635701	1631332	10472631	445366898	
3.000000	freqmine	1	1132	37.000000	5.040000	0.887000	1532942381	0	11679397	1657408	10363382	451072942	
3.000000	freqmine	1	1132	37.000000	5.040000	0.887000	1531969963	0	11659551	1620647	10400687	451512550	
2.500000	freqmine	1	1224	37.000000	5.032000	1.167000	1550566077	0	11658382	1642403	10489536	451739020	
2.500000	freqmine	1	1224	37.000000	5.032000	1.046000	1528570203	0	11654796	1618285	10170596	445689640	
3.000000	freqmine	1	1224	37.000000	5.032000	1.167000	1513562806	0	11576968	1620370	10119360	441854219	
2.500000	freqmine	1	1428	38.000000	5.024000	1.406000	1549988883	0	11503957	1614892	10147500	442433337	
2.500000	freqmine	1	1428	37.000000	5.032000	1.247000	1574819699	0	11657639	1632291	10440256	450013139	
2.500000	freqmine	1	1428	37.000000	5.032000	1.247000	1559628634	0	11548152	1614915	10276631	446557469	
2.500000	freqmine	1	1479	37.000000	5.024000	1.527000	1549706718	0	11588806	1617920	10156244	441763364	
3.000000	freqmine	1	1479	38.000000	5.032000	1.368000	1565172515	0	11595412	1622974	10278510	444795659	
2.500000	freqmine	1	1479	38.000000	5.024000	1.446000	1573185095	0	11583193	1607332	10665501	447305851	
18.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1428939257	0	14762145	1989997	11391387	451384290	
15.500000	streamcluster	1	102	36.000000	5.064000	0.243000	1431711986	0	14793565	1997134	11356154	450715989	
15.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1417815542	0	14539432	1963947	11326710	447185693	
6.500000	streamcluster	1	204	35.000000	5.064000	0.364000	1403686145	0	13103293	1806838	10907431	445177859	
8.000000	streamcluster	1	204	36.000000	5.056000	0.364000	1392504479	0	12984475	1791178	10812145	442983987	
8.000000	streamcluster	1	204	35.000000	5.064000	0.364000	1401710915	0	13106327	1807111	10791394	444107408	
