Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC
2.500000	fluidanimate	1	921	34.000000	5.048000	0.807000	1529857913	150406825	459205035	659067423	2420622	9519403	
3.000000	fluidanimate	1	921	34.000000	5.048000	0.807000	1524929629	149630821	457345793	656862517	2436152	9527816	
3.500000	fluidanimate	1	921	34.000000	5.048000	0.848000	1511984699	148636606	453941169	651224523	2414631	9523015	
2.500000	fluidanimate	1	1036	34.000000	5.040000	0.927000	1530780503	148188288	452505721	648647194	2467922	9522853	
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.967000	1526745639	147971803	452033898	648101031	2436789	9517140	
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.967000	1529927500	148668551	454030628	650829873	2453255	9520568	
3.000000	fluidanimate	1	1132	34.000000	5.040000	1.008000	1553694269	150365317	459318980	659299572	2463645	9527159	
3.000000	fluidanimate	1	1132	34.000000	5.040000	1.008000	1543174006	149477282	456322325	654775921	2444170	9518911	
3.000000	fluidanimate	1	1132	34.000000	5.040000	0.967000	1537818810	148345835	453306831	650080918	2445395	9522123	
3.000000	fluidanimate	1	1224	34.000000	5.040000	1.128000	1555303527	148710711	454152462	651581301	2413784	9517342	
2.500000	fluidanimate	1	1224	34.000000	5.040000	1.088000	1553829892	148522650	453878469	651470585	2522822	9517739	
2.500000	fluidanimate	1	1224	34.000000	5.040000	1.008000	1554482942	148882103	454883448	652512203	2435997	9523115	
3.000000	fluidanimate	1	1428	35.000000	5.024000	1.527000	1583699559	148736645	453722334	650498885	2421801	9524905	
2.500000	fluidanimate	1	1428	35.000000	5.024000	1.406000	1584360369	148646864	454372705	651962079	2425035	9520823	
2.500000	fluidanimate	1	1428	35.000000	5.032000	1.288000	1579217924	148609765	453878444	651046881	2428978	9521840	
2.500000	fluidanimate	1	1479	35.000000	5.024000	1.408000	1588527925	148538264	453643249	650803632	2518573	9525465	
2.500000	fluidanimate	1	1479	35.000000	5.024000	1.567000	1592286082	148878007	454664835	652567494	2419236	9524131	
3.000000	fluidanimate	1	1479	35.000000	5.024000	1.527000	1582179943	147731351	451039479	646123326	2439286	9518743	
14.500000	freqmine	1	102	33.000000	5.072000	0.243000	1470075344	155038667	463840795	672315321	2081332	102	
15.500000	freqmine	1	102	33.000000	5.072000	0.243000	1475319837	154940495	463250294	672029182	2076728	115	
19.000000	freqmine	1	102	33.000000	5.072000	0.243000	1477251330	154865778	463579018	672297409	2071463	124	
9.000000	freqmine	1	204	33.000000	5.064000	0.364000	1432370883	151393013	452274885	655688452	2070355	100	
9.500000	freqmine	1	204	33.000000	5.064000	0.364000	1448679458	153349276	458555923	665882761	2068791	102	
9.500000	freqmine	1	204	33.000000	5.064000	0.364000	1416556085	149942931	447979214	648724991	2099062	107	
5.000000	freqmine	1	307	33.000000	5.056000	0.525000	1431247424	150828486	450886184	654075029	2103507	119	
5.000000	freqmine	1	307	33.000000	5.056000	0.444000	1444612653	151807628	453996417	659264034	2104078	109	
6.000000	freqmine	1	307	34.000000	5.056000	0.444000	1439938039	151551040	452882225	656890838	2168319	108	
4.500000	freqmine	1	403	33.000000	5.056000	0.485000	1430752777	149969047	447907999	649789793	2090880	102	
4.500000	freqmine	1	403	33.000000	5.056000	0.485000	1423236387	148849440	444459572	644122782	2090935	95	
4.500000	freqmine	1	403	33.000000	5.056000	0.485000	1427212051	149253415	445424256	645575363	2071220	94	
3.000000	freqmine	1	518	33.000000	5.056000	0.565000	1457789866	151058337	451155953	654922101	2065983	95	
4.000000	freqmine	1	518	33.000000	5.056000	0.566000	1439787794	149327593	445536202	645677577	2079449	104	
3.500000	freqmine	1	518	34.000000	5.056000	0.566000	1444893903	149966303	447601432	649042204	2094854	92	
4.000000	freqmine	1	614	33.000000	5.056000	0.606000	1453259613	148796013	443994100	643443727	2093331	102	
4.000000	freqmine	1	614	34.000000	5.056000	0.606000	1445671719	148574145	443512913	642497199	2167813	91	
3.500000	freqmine	1	614	33.000000	5.056000	0.606000	1445257063	148528110	443358764	642228097	2085882	91	
3.500000	freqmine	1	710	33.000000	5.048000	0.686000	1479019529	150520975	449463030	651787965	2109828	104	
3.000000	freqmine	1	710	33.000000	5.048000	0.686000	1462268831	148821115	443928299	643291196	2076262	98	
4.000000	freqmine	1	710	34.000000	5.048000	0.726000	1471813208	149435912	446255967	647284826	2075054	109	
3.500000	freqmine	1	921	34.000000	5.048000	0.848000	1487570984	148200834	442504372	641107321	2071214	111	
3.000000	freqmine	1	921	34.000000	5.048000	0.848000	1495346256	149211411	445508009	646272768	2070411	98	
3.500000	freqmine	1	921	34.000000	5.040000	0.807000	1486039793	148196553	442025301	640375096	2169781	98	
3.000000	freqmine	1	1036	34.000000	5.048000	0.888000	1522350741	149957647	447651345	649605232	2067310	97	
2.500000	freqmine	1	1036	34.000000	5.048000	0.888000	1509138161	148539522	443488913	642881355	2069098	103	
3.000000	freqmine	1	1036	34.000000	5.040000	0.967000	1503851409	148367669	442952092	641987639	2178129	102	
2.500000	freqmine	1	1132	34.000000	5.040000	0.967000	1514151835	148413918	442330358	640925194	2071687	96	
3.000000	freqmine	1	1132	34.000000	5.040000	0.967000	1528294910	149631020	447357632	649143990	2087062	106	
3.000000	freqmine	1	1132	34.000000	5.040000	0.888000	1520423334	148717015	444148933	643987552	2100922	98	
3.000000	freqmine	1	1224	34.000000	5.040000	1.048000	1527759001	148394430	442672869	641484968	2070208	102	
2.500000	freqmine	1	1224	34.000000	5.032000	1.169000	1526364082	147917816	441082715	638984061	2076350	94	
3.000000	freqmine	1	1224	34.000000	5.032000	1.128000	1523482776	147706492	440900203	638766026	2088908	103	
3.000000	freqmine	1	1428	35.000000	5.032000	1.408000	1554757267	147817231	441186278	639209977	2090412	92	
2.500000	freqmine	1	1428	35.000000	5.032000	1.449000	1547015839	147195910	439092805	635828101	2083252	90	
2.500000	freqmine	1	1428	34.000000	5.040000	1.247000	1553706113	147563204	440281598	637973799	2066799	92	
2.500000	freqmine	1	1479	34.000000	5.032000	1.569000	1572966344	149020177	444890628	645572486	2080341	97	
2.500000	freqmine	1	1479	35.000000	5.032000	1.408000	1558538428	147862096	441167910	638451838	2079630	83	
2.500000	freqmine	1	1479	35.000000	5.024000	1.446000	1573090696	148434162	443090504	642356929	2172142	111	
26.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1432651461	149415304	450633052	648815059	2068516	15386	
14.500000	streamcluster	1	102	33.000000	5.072000	0.243000	1424899414	148825173	448225735	644807325	2152182	16193	
19.000000	streamcluster	1	102	33.000000	5.072000	0.243000	1441396923	150379074	453612192	653298333	2072028	16436	
9.000000	streamcluster	1	204	33.000000	5.064000	0.404000	1408275262	147546060	444576629	640696110	2082962	16161	
7.500000	streamcluster	1	204	33.000000	5.064000	0.364000	1391745430	146154486	440590208	634595051	2049492	16234	
11.500000	streamcluster	1	204	33.000000	5.064000	0.364000	1390793071	145659996	438494844	630427404	2053524	16344	
6.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1390155601	145336902	437322396	629433711	2061689	16423	
6.000000	streamcluster	1	307	33.000000	5.056000	0.444000	1384475848	144635744	435524713	626616234	2068356	16303	
5.500000	streamcluster	1	307	33.000000	5.056000	0.444000	1385154076	144672383	435508714	627139742	2075966	15346	
4.500000	streamcluster	1	403	33.000000	5.056000	0.525000	1392404671	144723173	435490166	626618394	2055470	15534	
5.000000	streamcluster	1	403	33.000000	5.056000	0.525000	1398716772	144920063	436204836	627852435	2050871	16354	
4.500000	streamcluster	1	403	33.000000	5.056000	0.485000	1412192756	146151357	440195095	634532541	2152871	16165	
