Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.927000	1529658990	1493583	3738719	3684550	211	304866715	
3.000000	fluidanimate	1	1036	34.000000	5.040000	1.008000	1540744202	1493986	3815660	3761602	161	306962537	
2.750000	fluidanimate	1	1036	34.000000	5.040000	0.888000	1537617167	1245405	3757303	3701796	196	306063386	
3.000000	fluidanimate	1	1132	35.000000	5.040000	0.967000	1545046626	1146708	3812426	3756983	191	307287588	
2.750000	fluidanimate	1	1132	34.000000	5.040000	0.887000	1534919394	1493447	3735064	3681559	213	305014912	
3.000000	fluidanimate	1	1132	34.000000	5.040000	0.927000	1531841995	1245755	3730634	3676198	259	304859925	
2.750000	fluidanimate	1	1224	34.000000	5.040000	1.048000	1555330807	1245012	3787068	3732509	234	305910600	
2.750000	fluidanimate	1	1224	34.000000	5.040000	1.008000	1547334777	1493130	3703263	3647989	190	303905541	
3.000000	fluidanimate	1	1224	35.000000	5.040000	1.088000	1569548563	1372894	3866077	3812123	244	308417490	
2.500000	fluidanimate	1	1428	35.000000	5.024000	1.487000	1576487832	1248420	3692604	3638437	531	303956146	
3.000000	fluidanimate	1	1428	35.000000	5.024000	1.487000	1568252541	1356200	3684052	3629410	157	302897643	
2.500000	fluidanimate	1	1428	35.000000	5.032000	1.288000	1570498661	1242653	3672310	3617834	148	302807953	
2.500000	fluidanimate	1	1479	35.000000	5.024000	1.406000	1585490211	1363596	3738286	3683625	335	304913888	
2.500000	fluidanimate	1	1479	36.000000	5.024000	1.487000	1594217520	1364569	3780166	3725720	154	306291688	
2.750000	fluidanimate	1	1479	35.000000	5.024000	1.446000	1591509129	1497728	3753372	3698984	160	305194980	
15.750000	freqmine	1	102	34.000000	5.072000	0.243000	1459805999	1031016	3770371	3699726	197	305833979	
23.750000	freqmine	1	102	34.000000	5.064000	0.243000	1472873914	1138498	3873781	3803112	249	308259068	
13.750000	freqmine	1	102	33.000000	5.072000	0.243000	1462082397	1143613	3767771	3696867	232	306449442	
7.500000	freqmine	1	204	34.000000	5.064000	0.324000	1439017267	1375392	3803990	3741433	178	301940593	
7.750000	freqmine	1	204	33.000000	5.064000	0.405000	1438670936	1244898	3749056	3687902	209	300545667	
8.250000	freqmine	1	204	33.000000	5.064000	0.324000	1445929192	1374377	3819820	3758617	171	302463629	
5.750000	freqmine	1	307	34.000000	5.064000	0.405000	1416486985	1129383	3661132	3603157	158	296085116	
5.500000	freqmine	1	307	34.000000	5.056000	0.444000	1419341175	1241847	3700472	3642800	148	296933755	
5.250000	freqmine	1	307	33.000000	5.056000	0.444000	1417329030	1125917	3671159	3613071	212	296443527	
5.250000	freqmine	1	403	34.000000	5.056000	0.485000	1435087034	1244639	3788169	3732295	130	298731248	
4.500000	freqmine	1	403	33.000000	5.056000	0.485000	1432313836	1122618	3760048	3703477	810	297306980	
4.500000	freqmine	1	403	34.000000	5.056000	0.485000	1447676516	1127094	3885160	3828730	168	300797145	
4.000000	freqmine	1	518	34.000000	5.056000	0.566000	1441750401	1373132	3748284	3693669	180	296822382	
4.750000	freqmine	1	518	34.000000	5.056000	0.566000	1443921181	1238584	3787092	3731519	129	297175478	
3.750000	freqmine	1	518	34.000000	5.056000	0.525000	1428175387	1013846	3649673	3594293	125	293665439	
3.500000	freqmine	1	614	34.000000	5.056000	0.606000	1454382494	1370127	3764143	3709680	165	296898217	
3.500000	freqmine	1	614	34.000000	5.056000	0.606000	1466871330	1016857	3849373	3795581	149	299324822	
3.750000	freqmine	1	614	34.000000	5.056000	0.606000	1452187693	1124947	3737112	3677724	150	295948727	
3.500000	freqmine	1	710	34.000000	5.048000	0.686000	1454282293	1372982	3650734	3595873	144	293960354	
3.750000	freqmine	1	710	34.000000	5.056000	0.686000	1453642697	1236269	3641163	3586825	141	293118566	
3.250000	freqmine	1	710	34.000000	5.048000	0.686000	1460670722	1369499	3693666	3638736	142	294397119	
3.000000	freqmine	1	921	34.000000	5.048000	0.807000	1491342644	1368820	3747090	3693327	154	295135248	
3.000000	freqmine	1	921	35.000000	5.048000	0.807000	1492208159	1016926	3724138	3670499	150	294500821	
3.250000	freqmine	1	921	34.000000	5.048000	0.846000	1494929749	1126138	3792664	3738759	142	296204421	
2.750000	freqmine	1	1036	34.000000	5.048000	0.888000	1502302375	1367361	3645174	3591526	136	292302428	
6.000000	freqmine	1	1036	34.000000	5.040000	0.888000	1502636752	1240161	3693215	3638968	170	293665806	
3.000000	freqmine	1	1036	34.000000	5.048000	0.848000	1496818332	1365998	3668752	3614891	147	293207944	
2.750000	freqmine	1	1132	34.000000	5.040000	0.927000	1521844423	1368091	3778425	3724334	140	295672779	
2.750000	freqmine	1	1132	35.000000	5.040000	0.887000	1520845053	1369531	3748435	3695037	174	295180234	
3.000000	freqmine	1	1132	34.000000	5.040000	1.008000	1529628636	1369268	3834960	3780352	196	298074802	
2.500000	freqmine	1	1224	35.000000	5.040000	1.048000	1535869464	1121463	3781347	3727541	302	295668704	
3.000000	freqmine	1	1224	34.000000	5.040000	1.048000	1521858120	1119268	3671498	3617451	139	292965185	
2.750000	freqmine	1	1224	34.000000	5.040000	1.127000	1524803710	1238446	3699448	3645868	151	293480752	
3.250000	freqmine	1	1428	36.000000	5.032000	1.328000	1563670417	1372570	3771798	3718320	241	295730841	
2.750000	freqmine	1	1428	35.000000	5.024000	1.446000	1563003502	1128058	3798431	3745903	142	295798984	
2.750000	freqmine	1	1428	35.000000	5.040000	1.249000	1556144020	1015865	3733564	3678979	309	294772569	
2.500000	freqmine	1	1479	35.000000	5.032000	1.408000	1570590975	1014970	3747160	3692797	243	294542697	
2.750000	freqmine	1	1479	35.000000	5.024000	1.446000	1574458070	1013959	3787646	3733961	190	295855089	
2.500000	freqmine	1	1479	35.000000	5.024000	1.487000	1584715377	1014298	3846589	3792564	231	297554861	
25.500000	streamcluster	1	102	34.000000	5.072000	0.243000	1445716182	1223264	3880885	3811685	178	304141377	
30.500000	streamcluster	1	102	33.000000	5.072000	0.243000	1427654904	1353626	3729981	3661008	233	299504275	
25.500000	streamcluster	1	102	33.000000	5.072000	0.243000	1430446391	1222109	3747653	3677990	224	300480174	
