Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.000000	ferret	1	710	37.000000	5.064000	0.526000	1473672444	8280983	228483115	447999709	565983298	4099159	
3.000000	ferret	1	921	36.000000	5.064000	0.607000	1505637579	8232649	228822773	449117146	565957456	4060564	
3.000000	ferret	1	921	37.000000	5.064000	0.607000	1503531637	8269600	229480858	449431046	566750265	4039592	
3.000000	ferret	1	921	36.000000	5.064000	0.567000	1492240208	8210927	227283123	445764610	562401231	4107624	
3.000000	ferret	1	1036	36.000000	5.064000	0.648000	1511945095	8239388	227599851	446775821	562670733	4073259	
4.000000	ferret	1	1036	37.000000	5.064000	0.688000	1519210156	8188809	228200234	447987143	564269648	4047713	
3.000000	ferret	1	1036	37.000000	5.064000	0.648000	1506223623	8248070	226329550	444621535	560951154	4054575	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1526126374	8272228	228797314	448667662	565455525	4082702	
3.000000	ferret	1	1132	37.000000	5.064000	0.648000	1519732838	8271181	227387716	446324644	562594326	4048556	
3.000000	ferret	1	1132	37.000000	5.064000	0.648000	1519433064	8202723	227816734	446530519	563787877	4040972	
2.000000	ferret	1	1224	37.000000	5.056000	0.728000	1540093860	8243119	228651806	448322538	566005316	4043792	
3.000000	ferret	1	1224	36.000000	5.064000	0.729000	1553820750	8232448	231050999	452319513	569267562	4114402	
3.000000	ferret	1	1224	37.000000	5.056000	0.728000	1537633314	8228313	228405226	447524248	564031603	4046600	
2.000000	ferret	1	1428	37.000000	5.056000	0.930000	1562178307	8178747	228006997	447107301	563496770	4060020	
2.000000	ferret	1	1428	38.000000	5.056000	0.930000	1560040793	8098211	227018001	445474021	561208764	4101649	
3.000000	ferret	1	1428	38.000000	5.056000	0.930000	1561674246	8139954	227514646	445877755	561850209	4002884	
3.000000	ferret	1	1479	37.000000	5.056000	0.970000	1574209847	8141172	228945328	448266928	563772752	4037082	
3.000000	ferret	1	1479	37.000000	5.056000	1.011000	1575125532	8199875	228380796	447312226	564521068	4033053	
3.000000	ferret	1	1479	38.000000	5.048000	1.009000	1566444915	8212484	226358572	444488758	560672965	4089499	
