Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.937500	ferret	1	614	29.000000	5.072000	0.486000	1456922010	8449172	228300215	448789703	566097438	4173364	
3.125000	ferret	1	710	29.000000	5.064000	0.526000	1469296632	8366991	228702103	448957636	565884137	4125716	
3.375000	ferret	1	710	29.000000	5.064000	0.486000	1486005526	8309542	232069112	454121272	571341635	4205623	
3.125000	ferret	1	710	29.000000	5.064000	0.486000	1454559880	8254350	226401057	444439586	561378118	4059749	
2.812500	ferret	1	921	30.000000	5.064000	0.567000	1496420604	8214621	228847787	448958449	565235133	4088974	
2.875000	ferret	1	921	30.000000	5.064000	0.567000	1490555112	8252128	227824530	446803868	563046537	4072100	
3.062500	ferret	1	921	29.000000	5.064000	0.567000	1502486261	8227130	229891196	450190308	566534932	4138217	
2.875000	ferret	1	1036	30.000000	5.064000	0.648000	1513953309	8222855	228102126	447463877	564152127	4137728	
2.875000	ferret	1	1036	29.000000	5.064000	0.607000	1512084293	8182626	228108596	447450196	564223521	4089701	
2.750000	ferret	1	1036	29.000000	5.064000	0.607000	1529009397	8217055	230716938	451666633	568708744	4137224	
2.937500	ferret	1	1132	30.000000	5.064000	0.648000	1509212625	8073257	226573858	444398911	559532205	4088539	
2.687500	ferret	1	1132	29.000000	5.056000	0.687000	1521337196	8175040	228252718	447410269	563408962	4090798	
2.750000	ferret	1	1132	30.000000	5.064000	0.607000	1521098075	8218838	228558355	447857857	564325906	4067578	
2.812500	ferret	1	1224	30.000000	5.056000	0.728000	1539252504	8185985	229270462	449072753	565710238	4097216	
2.750000	ferret	1	1224	31.000000	5.056000	0.728000	1539079672	8208137	228547953	447922856	564011242	4063694	
2.687500	ferret	1	1224	30.000000	5.056000	0.728000	1519027349	8191160	225756991	443165690	559045609	3989767	
2.875000	ferret	1	1428	31.000000	5.056000	0.889000	1562042190	8161599	227845877	446941475	562152859	4137629	
2.812500	ferret	1	1428	30.000000	5.056000	0.889000	1566782203	8171073	228874608	448762763	564512252	4151482	
2.875000	ferret	1	1428	31.000000	5.056000	0.889000	1557837725	8157188	226996416	445260854	560973581	4045043	
3.562500	ferret	1	1479	30.000000	5.048000	0.928000	1576303224	8147754	228537087	448180414	564255246	4068812	
2.750000	ferret	1	1479	31.000000	5.048000	0.969000	1573008441	8160372	228005766	446726147	562750348	4066667	
3.187500	ferret	1	1479	31.000000	5.056000	0.930000	1562850555	8120846	226599519	444415985	559995339	4023906	
16.250000	fluidanimate	1	102	29.000000	5.064000	0.243000	1476039261	9264137	239495092	471290594	599118107	4623708	
13.437500	fluidanimate	1	102	30.000000	5.064000	0.243000	1497557778	9316702	242518023	477141830	604283298	4648547	
21.125000	fluidanimate	1	102	29.000000	5.064000	0.243000	1482291287	9350835	239669409	471883122	599904960	4588600	
8.937500	fluidanimate	1	204	30.000000	5.056000	0.323000	1454263784	8898828	237899409	466285638	590615293	4410079	
10.312500	fluidanimate	1	204	30.000000	5.064000	0.364000	1446485412	8887046	236772280	464641030	588588563	4393413	
8.687500	fluidanimate	1	204	30.000000	5.064000	0.324000	1462268381	8816728	239798035	469552268	592741482	4430309	
5.437500	fluidanimate	1	307	30.000000	5.064000	0.404000	1451218875	8655784	238124644	465649141	586828538	4251812	
5.437500	fluidanimate	1	307	30.000000	5.056000	0.404000	1438355011	8649574	235033958	460767608	581056687	4222706	
5.375000	fluidanimate	1	307	30.000000	5.056000	0.405000	1459737397	8713750	239121750	467469501	588990503	4345352	
4.250000	fluidanimate	1	403	30.000000	5.056000	0.485000	1438431937	8524196	234583275	459198380	578584590	4217384	
4.562500	fluidanimate	1	403	30.000000	5.056000	0.485000	1455312340	8589719	235899464	461792019	583683153	4233067	
4.562500	fluidanimate	1	403	30.000000	5.056000	0.485000	1460096737	8576258	238437055	465917829	585685480	4281720	
3.875000	fluidanimate	1	518	30.000000	5.056000	0.566000	1453966579	8584318	233921472	458029746	578008630	4149471	
3.750000	fluidanimate	1	518	30.000000	5.056000	0.566000	1464204957	8506604	236531597	462183087	581950276	4198372	
4.000000	fluidanimate	1	518	30.000000	5.056000	0.525000	1461828254	8483337	235631636	460816017	580362904	4174610	
3.875000	fluidanimate	1	614	30.000000	5.048000	0.605000	1470471658	8465124	234831958	459147879	580858269	4186409	
3.500000	fluidanimate	1	614	30.000000	5.048000	0.646000	1469856839	8494373	234343651	458285181	578495866	4181286	
6.250000	fluidanimate	1	614	30.000000	5.048000	0.605000	1461583206	8416554	234438103	458854777	577165898	4105133	
3.312500	fluidanimate	1	710	30.000000	5.048000	0.726000	1480044038	8457660	234324269	458122913	577978406	4119876	
3.312500	fluidanimate	1	710	31.000000	5.048000	0.646000	1492125444	8437012	236487750	462273994	581600582	4119613	
3.562500	fluidanimate	1	710	30.000000	5.048000	0.686000	1474716967	8491562	233203121	456403338	577616216	4042344	
3.750000	fluidanimate	1	921	30.000000	5.048000	0.807000	1531431164	8416060	238405401	465296569	584127276	4200239	
