Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1562803831	190091578	8560134	1846070	3976142	116270	
4.000000	ferret	1	1428	37.000000	5.056000	0.930000	1577249501	192086005	8624256	1830315	3972435	117174	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1551337131	188816113	8521392	1799543	3866950	114632	
2.000000	ferret	1	1479	36.000000	5.048000	1.009000	1571527219	190269579	8552359	1793466	3894744	118387	
4.000000	ferret	1	1479	37.000000	5.056000	0.970000	1562956004	189316971	8497706	1796939	3874243	117013	
4.000000	ferret	1	1479	37.000000	5.056000	0.970000	1570209408	189898466	8525960	1810558	3911055	117078	
16.000000	fluidanimate	1	102	36.000000	5.064000	0.243000	1477975461	199396752	9696238	2007993	4401961	152108	
16.000000	fluidanimate	1	102	36.000000	5.072000	0.243000	1486249794	199766915	9759507	2043175	4474273	156656	
32.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1492780169	200272905	9774445	2041973	4443624	162714	
8.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1451319985	196532721	9132700	1945709	4196839	138502	
16.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1461077890	198312274	9219456	1903820	4220556	136675	
10.000000	fluidanimate	1	204	36.000000	5.056000	0.364000	1466315026	198358037	9222299	1934429	4229134	139250	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1446175673	195394746	8888535	1909054	4091378	129613	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1446368876	194623084	8976500	1888395	4075443	132210	
6.000000	fluidanimate	1	307	36.000000	5.056000	0.444000	1451120848	195175093	8967313	1902642	4139000	132059	
6.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1452077398	194967028	8728784	1879310	4028175	130942	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.524000	1472221278	197073581	8917683	1910014	4140679	129473	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1457030929	195011334	8885175	1852344	4028960	128009	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.605000	1465865432	194220657	8742918	1914607	4080434	123632	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.605000	1453198390	193314599	8698979	1873465	3997769	125338	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.605000	1468778149	194533406	8833335	1852394	4014999	124743	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1469410224	193135258	8632671	1892004	4005093	122125	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1477537733	194086563	8651433	1851131	3984339	122749	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.686000	1474174269	194002438	8592292	1860710	3973248	123821	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1480886158	193278188	8568801	1840972	3950902	118338	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1479881428	192313750	8705160	1856129	3928558	123556	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1491429621	194128579	8556567	1850975	3984169	121606	
4.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1528556400	195316925	8556208	1862593	4006202	120366	
2.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1511718046	193357834	8531959	1874461	3987805	120603	
4.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1516867644	193926433	8628445	1885710	4005456	121662	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1540160159	194119114	8494454	1831592	3945340	120223	
4.000000	fluidanimate	1	1036	36.000000	5.032000	0.966000	1556101880	196285654	8837169	1853158	4036355	120169	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.967000	1539238835	194003235	8647424	1897694	4009656	121544	
4.000000	fluidanimate	1	1132	37.000000	5.032000	1.046000	1547430190	194177665	8669165	1887530	4008685	116771	
2.000000	fluidanimate	1	1132	37.000000	5.040000	0.927000	1542854275	193937155	8628355	1874560	3993906	117741	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1540109889	192823385	8524475	1880016	3961814	117654	
4.000000	fluidanimate	1	1224	37.000000	5.040000	1.048000	1559452426	194140209	8590687	1890396	4023823	119382	
2.000000	fluidanimate	1	1224	37.000000	5.032000	1.086000	1549639653	192807819	8445058	1834885	3912960	119465	
4.000000	fluidanimate	1	1224	37.000000	5.040000	1.046000	1568499954	194404512	8716723	1876263	4025196	120800	
2.000000	fluidanimate	1	1428	38.000000	5.032000	1.288000	1588826614	194041518	8641531	1885869	3994702	117956	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.567000	1576563432	192465128	8425048	1836414	3920896	116562	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.446000	1567204807	191717060	8328846	1815744	3868311	114713	
4.000000	fluidanimate	1	1479	36.000000	5.024000	1.366000	1591646861	192962246	8473069	1846467	3927177	117313	
2.000000	fluidanimate	1	1479	38.000000	5.016000	1.605000	1611002181	195427802	8613560	1894528	4043624	120603	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.524000	1586795319	192004504	8440754	1840605	3893529	115151	
20.000000	freqmine	1	102	35.000000	5.072000	0.243000	1478520970	200334270	9847581	2016696	4510218	159931	
18.000000	freqmine	1	102	36.000000	5.072000	0.243000	1475043218	198896910	9835196	1991038	4436566	160510	
14.000000	freqmine	1	102	35.000000	5.064000	0.243000	1474288497	198807702	9760674	2021223	4459105	161745	
8.000000	freqmine	1	204	35.000000	5.056000	0.364000	1432144609	194393233	9234350	1949064	4238143	139573	
8.000000	freqmine	1	204	36.000000	5.064000	0.324000	1436655857	195421190	9228491	1941063	4243190	140739	
8.000000	freqmine	1	204	35.000000	5.064000	0.324000	1442066060	195852120	9299586	1937074	4248364	142657	
6.000000	freqmine	1	307	36.000000	5.056000	0.444000	1438372422	194916336	8958588	1895508	4123917	135399	
6.000000	freqmine	1	307	36.000000	5.056000	0.444000	1433144129	194089663	8912508	1893627	4128283	133935	
6.000000	freqmine	1	307	36.000000	5.056000	0.444000	1437229574	194386448	8887841	1860173	4084358	133878	
14.000000	freqmine	1	403	36.000000	5.048000	0.565000	1428595423	192852579	8735184	1833393	4022119	124775	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1450662081	195031224	8956074	1929712	4187598	132742	
6.000000	freqmine	1	403	36.000000	5.056000	0.525000	1436597939	193401417	8839811	1849571	4047526	128221	
4.000000	freqmine	1	518	36.000000	5.048000	0.605000	1458652761	194599410	8747354	1807710	4021662	124959	
4.000000	freqmine	1	518	36.000000	5.048000	0.565000	1446189729	193576366	8678257	1815872	3992096	127156	
4.000000	freqmine	1	518	36.000000	5.056000	0.565000	1457611573	194326028	8672350	1830655	4022906	127950	
