Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
3.000000	dedup	1	1132	33.000000	5.040000	0.927000	1504146019	1834558	159396	3325852	0	35616	
3.000000	dedup	1	1132	33.000000	5.040000	1.008000	1502234309	1833454	161605	3228797	0	35615	
3.000000	dedup	1	1224	33.000000	5.040000	1.048000	1520816728	1833795	159703	3385368	0	35610	
2.500000	dedup	1	1224	33.000000	5.040000	1.169000	1536250713	1839438	160405	3472891	0	35601	
3.000000	dedup	1	1224	33.000000	5.040000	1.088000	1516949089	1836354	161189	3318021	0	35602	
3.000000	dedup	1	1428	34.000000	5.032000	1.449000	1537439729	1832475	161415	3235194	0	35615	
3.000000	dedup	1	1428	34.000000	5.032000	1.408000	1558035380	1843564	161630	3395624	0	35617	
4.000000	dedup	1	1428	33.000000	5.032000	1.328000	1547511772	1834222	160327	3322047	0	35622	
2.500000	dedup	1	1479	34.000000	5.032000	1.489000	1553109307	1836481	161954	3325291	0	35610	
3.000000	dedup	1	1479	34.000000	5.032000	1.489000	1552521286	1834920	161819	3360791	0	35616	
2.500000	dedup	1	1479	34.000000	5.032000	1.408000	1567469644	1844207	161854	3423410	0	35618	
19.000000	ferret	1	102	32.000000	5.072000	0.243000	1488238756	1880787	168843	3409707	0	35753	
16.000000	ferret	1	102	32.000000	5.080000	0.243000	1493981491	1890545	172780	3619601	0	35760	
16.500000	ferret	1	102	32.000000	5.072000	0.243000	1472854559	1884249	171195	3475679	0	35760	
7.500000	ferret	1	204	32.000000	5.072000	0.324000	1438435402	1860336	165256	3467373	0	35747	
7.000000	ferret	1	204	32.000000	5.072000	0.324000	1426110433	1856506	166421	3275510	0	35754	
7.000000	ferret	1	204	32.000000	5.072000	0.324000	1439021975	1859645	163477	3414122	0	35754	
6.000000	ferret	1	307	32.000000	5.072000	0.365000	1425109317	1848795	163584	3306758	0	35745	
5.000000	ferret	1	307	32.000000	5.072000	0.365000	1423699984	1849929	161879	3304352	0	35768	
5.000000	ferret	1	307	32.000000	5.072000	0.365000	1430395689	1850679	162666	3378815	0	35760	
5.500000	ferret	1	403	32.000000	5.072000	0.405000	1441408375	1847146	161872	3424999	0	35757	
5.000000	ferret	1	403	32.000000	5.072000	0.405000	1441736927	1848148	163064	3396845	0	35762	
5.000000	ferret	1	403	32.000000	5.072000	0.405000	1430892290	1843535	161045	3314101	0	35757	
4.000000	ferret	1	518	32.000000	5.072000	0.446000	1457094335	1847205	163465	3453995	0	35754	
4.000000	ferret	1	518	33.000000	5.072000	0.446000	1454652174	1845410	161722	3436059	0	35742	
3.500000	ferret	1	518	32.000000	5.072000	0.446000	1442511909	1844711	162827	3289167	0	35750	
3.500000	ferret	1	614	32.000000	5.072000	0.446000	1447035546	1843324	162892	3231103	0	35756	
3.500000	ferret	1	614	33.000000	5.072000	0.446000	1457727429	1842144	161740	3342502	0	35751	
3.500000	ferret	1	614	33.000000	5.072000	0.446000	1457679406	1842085	161842	3311052	0	35762	
3.000000	ferret	1	710	33.000000	5.072000	0.486000	1460213160	1838038	161831	3231637	0	35750	
3.500000	ferret	1	710	32.000000	5.072000	0.486000	1468751647	1839150	161061	3310438	0	35760	
3.000000	ferret	1	710	32.000000	5.072000	0.486000	1479083732	1842389	161749	3405770	0	35745	
2.500000	ferret	1	921	32.000000	5.064000	0.567000	1491536771	1839568	161394	3279777	0	35765	
2.500000	ferret	1	921	33.000000	5.064000	0.567000	1497952147	1838650	160624	3335418	0	35757	
3.000000	ferret	1	921	32.000000	5.064000	0.567000	1510868927	1846774	162696	3453352	0	35753	
3.000000	ferret	1	1036	33.000000	5.064000	0.607000	1520942041	1841375	160798	3377637	0	35765	
3.000000	ferret	1	1036	33.000000	5.064000	0.648000	1526034564	1845706	161409	3415187	0	35748	
2.500000	ferret	1	1036	32.000000	5.064000	0.607000	1522798876	1840479	161731	3399969	0	35752	
3.000000	ferret	1	1132	32.000000	5.056000	0.687000	1517660908	1836975	159749	3283694	0	35755	
2.500000	ferret	1	1132	33.000000	5.064000	0.648000	1524944314	1840343	161648	3365105	0	35754	
2.500000	ferret	1	1132	33.000000	5.064000	0.607000	1511840324	1837207	161536	3271494	0	35758	
3.000000	ferret	1	1224	32.000000	5.064000	0.729000	1542236088	1840862	161728	3344973	0	35765	
3.000000	ferret	1	1224	34.000000	5.064000	0.688000	1532182366	1837723	160543	3336781	0	35744	
3.000000	ferret	1	1224	33.000000	5.064000	0.729000	1539631727	1841472	163101	3373342	0	35747	
3.000000	ferret	1	1428	34.000000	5.056000	0.889000	1573614026	1839247	161517	3398364	0	35765	
