Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	CID_WRITE_RETIRED
4.500000	fluidanimate	1	518	35.000000	5.056000	0.605000	1455348146	4879821	1102614629	125297	125297	0	
3.500000	fluidanimate	1	614	36.000000	5.048000	0.646000	1481042374	4911445	1111488904	125904	125904	0	
3.500000	fluidanimate	1	614	35.000000	5.048000	0.646000	1476286836	4897103	1108983229	125889	125889	0	
4.500000	fluidanimate	1	614	36.000000	5.048000	0.646000	1472624346	4934778	1105722896	125641	125641	0	
3.500000	fluidanimate	1	710	36.000000	5.048000	0.726000	1494776901	4940049	1114783652	126410	126410	0	
3.500000	fluidanimate	1	710	36.000000	5.048000	0.686000	1498067527	4961318	1114679994	126445	126445	0	
3.500000	fluidanimate	1	710	36.000000	5.048000	0.726000	1490952981	4896050	1108943878	125783	125783	0	
3.000000	fluidanimate	1	921	36.000000	5.040000	0.848000	1524803741	4948626	1111097279	125867	125867	0	
3.500000	fluidanimate	1	921	36.000000	5.040000	0.846000	1519127762	4846435	1108367494	125998	125998	0	
3.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1514594028	4855930	1102841026	125284	125284	0	
2.500000	fluidanimate	1	1036	36.000000	5.040000	0.887000	1538130090	4922553	1105844172	125312	125312	0	
2.500000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1523603636	4825297	1095576563	125180	125180	0	
3.000000	fluidanimate	1	1036	36.000000	5.032000	1.006000	1527329380	4863143	1103964526	125090	125090	0	
3.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1538651437	4847158	1106741478	125493	125493	0	
3.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1560562210	4931431	1125036422	126838	126838	0	
2.500000	fluidanimate	1	1132	36.000000	5.032000	0.966000	1553754281	4877832	1120640630	126624	126624	0	
3.000000	fluidanimate	1	1224	36.000000	5.032000	1.167000	1566693108	4863361	1116036644	126158	126158	0	
3.000000	fluidanimate	1	1224	36.000000	5.032000	1.086000	1549524210	4784359	1098821497	124733	124733	0	
2.500000	fluidanimate	1	1224	36.000000	5.032000	1.167000	1561668749	4873454	1109082746	125736	125736	0	
3.000000	fluidanimate	1	1428	37.000000	5.024000	1.527000	1577238669	4875182	1098431017	124702	124702	0	
3.000000	fluidanimate	1	1428	38.000000	5.024000	1.487000	1584750704	4793357	1105635561	125417	125417	0	
2.500000	fluidanimate	1	1428	37.000000	5.032000	1.207000	1595674513	4900670	1112630172	126289	126289	0	
2.500000	fluidanimate	1	1479	38.000000	5.024000	1.564000	1606486436	4908818	1119578176	126456	126456	0	
2.500000	fluidanimate	1	1479	37.000000	5.024000	1.487000	1595912483	4884045	1104921889	125436	125436	0	
2.500000	fluidanimate	1	1479	38.000000	5.024000	1.487000	1608790344	4939274	1117296762	126627	126627	0	
14.000000	freqmine	1	102	35.000000	5.072000	0.243000	1477593754	5149869	1124686501	129290	129290	0	
20.000000	freqmine	1	102	35.000000	5.072000	0.243000	1475125075	5129498	1117740589	129179	129179	0	
16.500000	freqmine	1	102	35.000000	5.072000	0.243000	1467245583	5150488	1110840907	128323	128323	0	
8.000000	freqmine	1	204	35.000000	5.064000	0.364000	1440882186	5040790	1103457871	126994	126994	0	
10.000000	freqmine	1	204	35.000000	5.064000	0.364000	1437221528	5023211	1106586241	126839	126839	0	
8.500000	freqmine	1	204	36.000000	5.064000	0.364000	1422818370	4980431	1088412244	125424	125424	0	
5.500000	freqmine	1	307	35.000000	5.056000	0.444000	1424452306	4949098	1088571084	125676	125676	0	
5.000000	freqmine	1	307	36.000000	5.056000	0.444000	1424741368	4915441	1089795317	125224	125224	0	
5.500000	freqmine	1	307	36.000000	5.056000	0.444000	1434888745	4963757	1096739736	126341	126341	0	
5.000000	freqmine	1	403	35.000000	5.056000	0.485000	1425838806	4912669	1082751442	124909	124909	0	
4.500000	freqmine	1	403	35.000000	5.056000	0.525000	1427979005	4930145	1082112192	124468	124468	0	
4.500000	freqmine	1	403	36.000000	5.056000	0.485000	1427797654	4912586	1083314340	125165	125165	0	
4.000000	freqmine	1	518	36.000000	5.048000	0.565000	1455550374	4907688	1094207503	125827	125827	0	
3.500000	freqmine	1	518	36.000000	5.048000	0.565000	1437784361	4888233	1084784640	124964	124964	0	
3.500000	freqmine	1	518	36.000000	5.048000	0.565000	1439391271	4898031	1083734950	124838	124838	0	
3.500000	freqmine	1	614	36.000000	5.048000	0.605000	1469022080	4896230	1097250789	126302	126302	0	
3.500000	freqmine	1	614	36.000000	5.048000	0.646000	1454715444	4885003	1083823318	125197	125197	0	
3.500000	freqmine	1	614	36.000000	5.048000	0.605000	1453774935	4902954	1083044639	124980	124980	0	
3.500000	freqmine	1	710	36.000000	5.048000	0.686000	1470944932	4879176	1086477431	125123	125123	0	
4.500000	freqmine	1	710	36.000000	5.048000	0.686000	1488389313	4951553	1098264146	126157	126157	0	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1472324042	4902730	1088239161	125270	125270	0	
3.500000	freqmine	1	921	36.000000	5.048000	0.807000	1493655892	4847635	1081238486	124666	124666	0	
4.000000	freqmine	1	921	37.000000	5.040000	0.846000	1499641589	4888687	1083163735	125057	125057	0	
4.000000	freqmine	1	921	37.000000	5.040000	0.887000	1490500896	4826740	1075001804	124119	124119	0	
3.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1518016287	4906702	1085894400	124812	124812	0	
3.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1502342476	4876457	1075077735	124177	124177	0	
3.000000	freqmine	1	1036	36.000000	5.040000	0.927000	1507975021	4840644	1075478366	124185	124185	0	
3.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1514030534	4867573	1076361788	124302	124302	0	
3.000000	freqmine	1	1132	36.000000	5.040000	0.967000	1523916139	4903028	1079425617	125005	125005	0	
3.000000	freqmine	1	1132	36.000000	5.040000	0.887000	1515963815	4833642	1078203849	124250	124250	0	
2.500000	freqmine	1	1224	37.000000	5.032000	1.046000	1528375829	4863603	1074200912	124071	124071	0	
3.000000	freqmine	1	1224	37.000000	5.032000	1.127000	1521828001	4815561	1070427807	123830	123830	0	
2.500000	freqmine	1	1224	37.000000	5.032000	1.086000	1518400226	4828036	1069123600	123567	123567	0	
3.000000	freqmine	1	1428	37.000000	5.024000	1.406000	1559092480	4840524	1074623787	124033	124033	0	
2.500000	freqmine	1	1428	38.000000	5.032000	1.247000	1545252468	4800545	1067931390	123655	123655	0	
2.500000	freqmine	1	1428	37.000000	5.032000	1.288000	1557407291	4830378	1081912255	124616	124616	0	
3.000000	freqmine	1	1479	38.000000	5.024000	1.446000	1569129097	4829784	1081077416	124390	124390	0	
3.000000	freqmine	1	1479	38.000000	5.024000	1.406000	1554248489	4813534	1071320706	123850	123850	0	
2.500000	freqmine	1	1479	38.000000	5.024000	1.366000	1573198982	4802527	1080423320	124654	124654	0	
22.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1421088337	5012723	1072710972	125735	125735	0	
19.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1436199200	5088740	1081905885	126655	126655	0	
20.500000	streamcluster	1	102	35.000000	5.064000	0.243000	1436883027	5064846	1084000868	127171	127171	0	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1414312123	4914412	1082914998	125903	125903	0	
8.000000	streamcluster	1	204	36.000000	5.056000	0.364000	1383980146	4902855	1055235306	123594	123594	0	
7.500000	streamcluster	1	204	36.000000	5.064000	0.364000	1401365759	4920453	1065995493	124842	124842	0	
6.000000	streamcluster	1	307	36.000000	5.056000	0.485000	1390995182	4877606	1055879766	123536	123536	0	
5.000000	streamcluster	1	307	36.000000	5.056000	0.485000	1400812664	4887583	1062863305	124220	124220	0	
5.000000	streamcluster	1	307	36.000000	5.056000	0.444000	1394596380	4833952	1057354056	123926	123926	0	
4.500000	streamcluster	1	403	35.000000	5.056000	0.485000	1411026282	4890571	1067883808	124269	124269	0	
4.500000	streamcluster	1	403	36.000000	5.048000	0.525000	1411553102	4928838	1065550009	124663	124663	0	
4.000000	streamcluster	1	403	36.000000	5.056000	0.524000	1394763310	4838967	1050561992	123225	123225	0	
3.500000	streamcluster	1	518	36.000000	5.048000	0.605000	1407149448	4883704	1048639857	123472	123472	0	
4.000000	streamcluster	1	518	36.000000	5.048000	0.605000	1394482719	4834404	1040690392	122346	122346	0	
4.000000	streamcluster	1	518	36.000000	5.056000	0.606000	1413210282	4859065	1053039492	123429	123429	0	
3.500000	streamcluster	1	614	36.000000	5.048000	0.646000	1410273553	4788674	1041087236	122228	122228	0	
5.500000	streamcluster	1	614	36.000000	5.048000	0.646000	1415040328	4808610	1047780043	122963	122963	0	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1425279339	4844584	1054801577	123214	123214	0	
3.500000	streamcluster	1	710	36.000000	5.048000	0.686000	1437396278	4841052	1053729785	123809	123809	0	
3.000000	streamcluster	1	710	36.000000	5.048000	0.726000	1432755064	4784203	1047701060	122724	122724	0	
3.500000	streamcluster	1	710	36.000000	5.048000	0.726000	1434558252	4784646	1054011605	123038	123038	0	
